Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDS55,7.02,Low Fat,0.081096635,Fruits and Vegetables,148.4734,OUT013,1987.0,High,Tier 3,Supermarket Type1,3563.3616
NCS05,11.5,Low Fat,0.020960615,Health and Hygiene,133.2942,OUT013,1987.0,High,Tier 3,Supermarket Type1,2649.884
FDD34,7.945,Low Fat,0.015912208,Snack Foods,161.821,OUT013,1987.0,High,Tier 3,Supermarket Type1,2446.815
FDS22,16.85,Regular,0.023135131,Snack Foods,44.8428,OUT013,1987.0,High,Tier 3,Supermarket Type1,703.0848
FDO48,15.0,Regular,0.02681843,Baking Goods,219.7456,OUT013,1987.0,High,Tier 3,Supermarket Type1,3094.6384
FDA23,9.8,Low Fat,0.04714777,Baking Goods,102.4016,OUT013,1987.0,High,Tier 3,Supermarket Type1,1720.4272
FDD39,16.7,Low Fat,0.070096518,Dairy,217.885,OUT013,1987.0,High,Tier 3,Supermarket Type1,3894.93
FDB03,17.75,Regular,0.156701315,Dairy,240.7538,OUT013,1987.0,High,Tier 3,Supermarket Type1,4566.7222
FDL34,16.0,Low Fat,0.040911824,Snack Foods,141.2496,OUT013,1987.0,High,Tier 3,Supermarket Type1,3387.5904
FDL56,14.1,Low Fat,0.125675936,Fruits and Vegetables,86.9198,OUT013,1987.0,High,Tier 3,Supermarket Type1,1133.8574
FDW55,12.6,Regular,0.021951613,Fruits and Vegetables,250.9092,OUT013,1987.0,High,Tier 3,Supermarket Type1,4731.1748
DRF13,12.1,Low Fat,0.02488388083333333,Soft Drinks,145.1444,OUT013,1987.0,High,Tier 3,Supermarket Type1,3338.3212
FDJ21,16.7,Regular,0.038496166,Snack Foods,147.5102,OUT013,1987.0,High,Tier 3,Supermarket Type1,5540.7876
FDZ33,10.195,Low Fat,0.107307677,Snack Foods,149.8076,,1987.0,High,Tier 3,Supermarket Type1,2217.114
FDG09,20.6,Regular,0.047896393,Fruits and Vegetables,185.8556,OUT013,1987.0,High,Tier 3,Supermarket Type1,1689.8004
NCJ17,7.68,Low Fat,0.152429537,Health and Hygiene,85.5224,OUT013,1987.0,High,Tier 3,Supermarket Type1,1278.336
FDC21,14.6,Regular,0.042923070999999986,Fruits and Vegetables,109.8254,OUT013,1987.0,High,Tier 3,Supermarket Type1,1627.881
DRG11,6.385,Low Fat,0.083768522,Hard Drinks,109.8596,OUT013,1987.0,High,Tier 3,Supermarket Type1,3235.788
FDI41,18.5,Regular,0.062205112,Frozen Foods,148.3418,OUT013,1987.0,High,Tier 3,Supermarket Type1,1765.7016
FDM27,12.35,Regular,0.158337479,Meat,157.9946,OUT013,1987.0,High,Tier 3,Supermarket Type1,3313.6866
FDR21,19.7,Low Fat,0.066879757,Snack Foods,174.437,OUT013,1987.0,High,Tier 3,Supermarket Type1,1587.933
FDU12,15.5,Regular,0.075688032,Baking Goods,262.9568,OUT013,1987.0,High,Tier 3,Supermarket Type1,1845.5976
FDI44,16.1,Low Fat,0.100149459,Fruits and Vegetables,78.4328,OUT013,1987.0,High,Tier 3,Supermarket Type1,1158.492
DRJ51,14.1,Low Fat,0.087920675,Dairy,228.5668,OUT013,1987.0,High,Tier 3,Supermarket Type1,1151.8339999999996
FDI15,13.8,Low Fat,0.14123493199999998,Dairy,263.7884,OUT013,1987.0,High,Tier 3,Supermarket Type1,5564.7564
FDF08,14.3,Regular,0.065153295,Fruits and Vegetables,88.4856,OUT013,1987.0,High,Tier 3,Supermarket Type1,1406.1696
NCH18,9.3,Low Fat,0.044624064000000005,Household,245.4802,OUT013,1987.0,High,Tier 3,Supermarket Type1,3193.8426
DRN35,8.01,Low Fat,0.070189131,Hard Drinks,37.9532,OUT013,1987.0,High,Tier 3,Supermarket Type1,826.9236
FDS35,9.3,Low Fat,0.111127966,Breads,63.1826,OUT013,1987.0,High,Tier 3,Supermarket Type1,2002.0606
FDN38,6.615,Regular,0.091895319,Canned,248.6408,OUT013,1987.0,High,Tier 3,Supermarket Type1,3504.7712
NCO43,5.5,Low Fat,0.035438224,Others,100.1016,OUT013,1987.0,High,Tier 3,Supermarket Type1,2125.2336
DRK12,9.5,Low Fat,0.041851461,Soft Drinks,31.49,OUT013,1987.0,High,Tier 3,Supermarket Type1,466.06
FDH32,12.8,Low Fat,0.075996742,Fruits and Vegetables,97.141,OUT013,1987.0,High,Tier 3,Supermarket Type1,2799.6890000000008
NCO54,19.5,Low Fat,0.014262413,Household,57.1614,OUT013,1987.0,High,Tier 3,Supermarket Type1,331.5684
DRJ11,9.5,Low Fat,0.085020342,Hard Drinks,189.4705333,OUT013,1987.0,High,Tier 3,Supermarket Type1,1701.7848
FDW16,17.35,Regular,0.041439718,Frozen Foods,93.7804,OUT013,1987.0,High,Tier 3,Supermarket Type1,2848.2924
FDW13,8.5,Low Fat,0.097803261,Canned,50.5324,OUT013,1987.0,High,Tier 3,Supermarket Type1,882.8508
FDY27,6.38,Low Fat,0.03187163,Dairy,179.5344,OUT013,1987.0,High,Tier 3,Supermarket Type1,4103.9912
FDX31,20.35,Regular,0.014813268,Fruits and Vegetables,234.9958,OUT013,1987.0,High,Tier 3,Supermarket Type1,5842.395
NCL53,7.5,Low Fat,0.036204764,Health and Hygiene,176.1028,OUT013,1987.0,High,Tier 3,Supermarket Type1,1948.1308
FDG33,5.365,Regular,0.140123575,Seafood,172.0764,OUT013,1987.0,High,Tier 3,Supermarket Type1,2748.4224
FDQ39,14.8,Low Fat,0.077764180625,Meat,189.3846,OUT013,1987.0,High,Tier 3,Supermarket Type1,4777.115
NCZ29,15.0,Low Fat,0.07131206400000001,Health and Hygiene,125.7362,OUT013,1987.0,High,Tier 3,Supermarket Type1,3020.0688
FDC29,8.39,Regular,0.024185517000000004,Frozen Foods,115.7176,OUT013,1987.0,High,Tier 3,Supermarket Type1,1374.2112
FDS47,16.75,Low Fat,0.128778474,Breads,89.1856,OUT013,1987.0,High,Tier 3,Supermarket Type1,1581.9408
DRH51,17.6,Low Fat,0.097135675,Dairy,89.3856,OUT013,1987.0,High,Tier 3,Supermarket Type1,1318.284
FDX27,20.7,Regular,0.114022125,Dairy,92.9436,OUT013,1987.0,High,Tier 3,Supermarket Type1,2174.5028
FDD58,7.76,Low Fat,0.05930285,Snack Foods,98.77,OUT013,1987.0,High,Tier 3,Supermarket Type1,1697.79
FDR27,15.1,Regular,0.096020459,Meat,133.7942,OUT013,1987.0,High,Tier 3,Supermarket Type1,2384.8956
NCS17,18.6,Low Fat,0.08043445099999999,Health and Hygiene,93.4436,OUT013,1987.0,High,Tier 3,Supermarket Type1,1701.7848
DRD60,15.7,Low Fat,0.037201127,Soft Drinks,181.7634,OUT013,1987.0,High,Tier 3,Supermarket Type1,2544.6876
FDA36,5.985,Low Fat,0.005661669,Baking Goods,186.5924,OUT013,1987.0,High,Tier 3,Supermarket Type1,2591.2936
FDU27,18.6,Regular,0.17133418,Meat,48.8376,OUT013,1987.0,High,Tier 3,Supermarket Type1,287.6256
FDH27,7.075,Low Fat,0.058298384,Dairy,145.8128,OUT013,1987.0,High,Tier 3,Supermarket Type1,1725.7536
FDU19,8.77,Regular,0.040973457375,Fruits and Vegetables,173.6422,OUT013,1987.0,High,Tier 3,Supermarket Type1,517.3266
FDY48,14.0,Low Fat,0.02371512,Baking Goods,103.8332,OUT013,1987.0,High,Tier 3,Supermarket Type1,1743.0644
NCP29,8.42,Low Fat,0.112177581,Health and Hygiene,65.9168,OUT013,1987.0,High,Tier 3,Supermarket Type1,958.752
DRG15,6.13,Low Fat,0.06406233033333335,Dairy,60.1536,OUT013,1987.0,High,Tier 3,Supermarket Type1,1102.5648
NCB42,11.8,Low Fat,0.008554052,Health and Hygiene,116.9492,OUT013,1987.0,High,Tier 3,Supermarket Type1,1969.4364
FDO34,17.7,Low Fat,0.029914022,Snack Foods,166.2816,OUT013,1987.0,High,Tier 3,Supermarket Type1,2516.724
NCG43,20.2,Low Fat,0.074177667,Household,93.2462,OUT013,1987.0,High,Tier 3,Supermarket Type1,1018.0082
FDV60,20.2,Regular,0.12300693666666668,Baking Goods,197.211,OUT013,1987.0,High,Tier 3,Supermarket Type1,3535.398
FDV34,10.695,Regular,0.01141595,Snack Foods,74.0038,OUT013,1987.0,High,Tier 3,Supermarket Type1,1034.6532
NCU18,15.1,Low Fat,0.055793586,Household,139.7496,OUT013,1987.0,High,Tier 3,Supermarket Type1,3952.1888
NCX53,20.1,Low Fat,0.014925407,Health and Hygiene,143.4154,OUT013,1987.0,High,Tier 3,Supermarket Type1,3545.385
FDZ12,9.17,Low Fat,0.102893121,Baking Goods,141.947,OUT013,1987.0,High,Tier 3,Supermarket Type1,4008.116
FDD33,12.85,Low Fat,0.108102606,Fruits and Vegetables,233.3642,OUT013,1987.0,High,Tier 3,Supermarket Type1,3950.1914
FDS33,6.67,Regular,0.12332588,Snack Foods,90.2514,OUT013,1987.0,High,Tier 3,Supermarket Type1,974.0654
FDH26,19.25,Regular,0.03467086,Canned,141.8496,OUT013,1987.0,High,Tier 3,Supermarket Type1,2399.5432
FDB04,11.35,Regular,0.06317369099999999,Dairy,86.1856,OUT013,1987.0,High,Tier 3,Supermarket Type1,1494.0552
FDI33,16.5,Low Fat,0.028395167,Snack Foods,91.7146,OUT013,1987.0,High,Tier 3,Supermarket Type1,2462.7942
FDG08,13.15,Regular,0.165221717,Fruits and Vegetables,172.0764,OUT013,1987.0,High,Tier 3,Supermarket Type1,4466.1864
FDU43,19.35,Regular,0.0288811505,Fruits and Vegetables,238.6564,OUT013,1987.0,High,Tier 3,Supermarket Type1,3575.3459999999995
FDA50,16.25,Low Fat,0.087102593,Dairy,96.041,OUT013,1987.0,High,Tier 3,Supermarket Type1,868.8689999999998
FDQ13,11.1,Low Fat,0.010632752,Canned,82.5908,OUT013,1987.0,High,Tier 3,Supermarket Type1,1510.0344
FDQ23,6.55,Low Fat,0.024505418,Breads,102.9332,OUT013,1987.0,High,Tier 3,Supermarket Type1,1845.5976
NCN42,20.25,Low Fat,0.010656955249999999,Household,145.6418,OUT013,1987.0,High,Tier 3,Supermarket Type1,3384.2614
FDN21,18.6,Low Fat,0.07679167099999999,Snack Foods,161.0236,OUT013,1987.0,High,Tier 3,Supermarket Type1,3705.8428
FDZ26,11.6,Regular,0.143897558,Dairy,240.6222,OUT013,1987.0,High,Tier 3,Supermarket Type1,2868.2664
FDI28,14.3,Low Fat,0.026299797000000003,Frozen Foods,79.4302,OUT013,1987.0,High,Tier 3,Supermarket Type1,1743.0644
FDX26,17.7,Low Fat,0.09316883828571428,Dairy,182.5292,OUT013,1987.0,High,Tier 3,Supermarket Type1,2736.438
FDW46,13.0,Regular,0.070243155,Snack Foods,64.6284,OUT013,1987.0,High,Tier 3,Supermarket Type1,391.4904
FDO12,15.75,Low Fat,0.054884820999999986,Baking Goods,195.3452,OUT013,1987.0,High,Tier 3,Supermarket Type1,1761.7068
NCI06,11.3,Low Fat,0.04767798,Household,181.466,OUT013,1987.0,High,Tier 3,Supermarket Type1,3775.086
FDM33,15.6,Low Fat,0.087646694,Snack Foods,221.5798,OUT013,1987.0,High,Tier 3,Supermarket Type1,5509.495
FDV08,7.35,Low Fat,0.028571132000000006,Fruits and Vegetables,40.8454,OUT013,1987.0,High,Tier 3,Supermarket Type1,587.2356
FDV48,9.195,Regular,0.051573903,Baking Goods,79.8644,OUT013,1987.0,High,Tier 3,Supermarket Type1,785.6439999999999
FDI19,15.1,Low Fat,0.052295514,Meat,242.9512,OUT013,1987.0,High,Tier 3,Supermarket Type1,4847.024
FDY20,12.5,Regular,0.081684728,Fruits and Vegetables,92.3488,OUT013,1987.0,High,Tier 3,Supermarket Type1,1177.1344
FDB52,17.75,Low Fat,0.030410273,Dairy,256.0672,OUT013,1987.0,High,Tier 3,Supermarket Type1,2045.3376
FDB56,8.75,Regular,0.074565098,Fruits and Vegetables,186.8556,OUT013,1987.0,High,Tier 3,Supermarket Type1,7322.4684
NCM17,7.93,Low Fat,0.07107667200000001,Health and Hygiene,44.9086,OUT013,1987.0,High,Tier 3,Supermarket Type1,802.9548
FDC47,15.0,Low Fat,0.118791698,Snack Foods,229.9694,OUT013,1987.0,High,Tier 3,Supermarket Type1,4339.0186
FDU08,10.3,Low Fat,0.027292686,Fruits and Vegetables,101.2042,OUT013,1987.0,High,Tier 3,Supermarket Type1,396.8168
NCM43,14.5,Low Fat,0.019459164,Others,161.621,OUT013,1987.0,High,Tier 3,Supermarket Type1,2120.573
FDP33,18.7,Low Fat,0.089197963,Snack Foods,257.3672,OUT013,1987.0,High,Tier 3,Supermarket Type1,2045.3376
FDT49,7.0,Low Fat,0.151279591,Canned,107.028,OUT013,1987.0,High,Tier 3,Supermarket Type1,2876.256
FDW23,5.765,Low Fat,0.081944045,Baking Goods,36.7164,OUT013,1987.0,High,Tier 3,Supermarket Type1,849.5608
FDB58,10.5,Regular,0.013485235,Snack Foods,140.0154,OUT013,1987.0,High,Tier 3,Supermarket Type1,3119.9388
FDR09,18.25,Low Fat,0.077659918,Snack Foods,260.2962,OUT013,1987.0,High,Tier 3,Supermarket Type1,1035.9848
FDJ14,10.3,Regular,0.050028809,Canned,80.096,OUT013,1987.0,High,Tier 3,Supermarket Type1,239.688
NCP41,16.6,Low Fat,0.016197216,Health and Hygiene,108.8596,OUT013,1987.0,High,Tier 3,Supermarket Type1,970.7364
FDI48,11.85,Regular,0.055672032,Baking Goods,50.5666,OUT013,1987.0,High,Tier 3,Supermarket Type1,922.7988
FDL16,12.85,Low Fat,0.16831267800000002,Frozen Foods,46.731,OUT013,1987.0,High,Tier 3,Supermarket Type1,885.5139999999999
FDH17,16.2,Regular,0.016639482,Frozen Foods,95.8726,OUT013,1987.0,High,Tier 3,Supermarket Type1,1076.5986
NCF55,6.675,Low Fat,0.021648305,Household,35.6874,OUT013,1987.0,High,Tier 3,Supermarket Type1,952.7598
FDO32,6.36,Low Fat,0.120443298,Fruits and Vegetables,45.40600000000001,OUT013,1987.0,High,Tier 3,Supermarket Type1,1118.544
NCO29,11.15,Low Fat,0.032229348,Health and Hygiene,163.2526,OUT013,1987.0,High,Tier 3,Supermarket Type1,1480.0734
FDH53,20.5,Regular,0.019183756,Frozen Foods,83.7592,OUT013,1987.0,High,Tier 3,Supermarket Type1,1403.5064
FDW03,5.63,Regular,0.024520854,Meat,102.8306,OUT013,1987.0,High,Tier 3,Supermarket Type1,1986.0814
FDH16,10.5,Low Fat,0.052511611,Frozen Foods,90.783,OUT013,1987.0,High,Tier 3,Supermarket Type1,1258.362
FDE11,17.7,Regular,0.13498355,Starchy Foods,184.4924,OUT013,1987.0,High,Tier 3,Supermarket Type1,3146.5708
FDV47,17.1,Low Fat,0.054162439000000014,Breads,85.3566,OUT013,1987.0,High,Tier 3,Supermarket Type1,1775.6886
NCL05,19.6,Low Fat,0.047857804,Health and Hygiene,45.077,OUT013,1987.0,High,Tier 3,Supermarket Type1,605.878
FDP40,4.555,Regular,0.034328578,Frozen Foods,110.1544,OUT013,1987.0,High,Tier 3,Supermarket Type1,1230.3984
FDH46,6.935,Regular,0.041247932,Snack Foods,101.8332,OUT013,1987.0,High,Tier 3,Supermarket Type1,2255.7304
FDF29,15.1,Regular,0.019917598,Frozen Foods,129.431,OUT013,1987.0,High,Tier 3,Supermarket Type1,3505.437
FDK20,12.6,Regular,0.04152307,Fruits and Vegetables,124.3072,OUT013,1987.0,High,Tier 3,Supermarket Type1,5022.7952
FDO08,11.1,Regular,0.05373063,Fruits and Vegetables,165.1526,OUT013,1987.0,High,Tier 3,Supermarket Type1,1480.0734
FDA08,11.85,Regular,0.050043472,Fruits and Vegetables,164.6526,OUT013,1987.0,High,Tier 3,Supermarket Type1,2137.8838
NCR50,20.2,Low Fat,0.01181025,Household,154.634,OUT013,1987.0,High,Tier 3,Supermarket Type1,4287.752
FDC34,16.0,Regular,0.172615327,Snack Foods,154.5972,OUT013,1987.0,High,Tier 3,Supermarket Type1,1869.5664
FDS60,20.85,Low Fat,0.032421521,Baking Goods,181.666,OUT013,1987.0,High,Tier 3,Supermarket Type1,1438.128
FDP10,19.0,Low Fat,0.127983545,Snack Foods,107.6622,OUT013,1987.0,High,Tier 3,Supermarket Type1,1270.3464
FDD17,7.5,Low Fat,0.032599801,Frozen Foods,238.1906,,1987.0,High,Tier 3,Supermarket Type1,3327.6684
FDZ08,12.5,Regular,0.109900843,Fruits and Vegetables,83.0592,OUT013,1987.0,High,Tier 3,Supermarket Type1,743.0328
FDP23,6.71,Low Fat,0.028477102600000005,Breads,218.9166,,1987.0,High,Tier 3,Supermarket Type1,2394.8826
FDM39,6.42,Low Fat,0.053426165,Dairy,178.7002,OUT013,1987.0,High,Tier 3,Supermarket Type1,4477.505
FDJ38,8.6,Regular,0.040172077,Canned,188.553,OUT013,1987.0,High,Tier 3,Supermarket Type1,3795.06
DRI47,14.7,Low Fat,0.02090277,Hard Drinks,143.5928,OUT013,1987.0,High,Tier 3,Supermarket Type1,3307.6944
FDF35,15.0,Low Fat,0.153861181,Starchy Foods,108.5938,OUT013,1987.0,High,Tier 3,Supermarket Type1,1393.5194
DRM37,15.35,Low Fat,0.096317593,Soft Drinks,197.3768,OUT013,1987.0,High,Tier 3,Supermarket Type1,3350.3056
FDQ44,20.5,Low Fat,0.036110222,Fruits and Vegetables,120.1756,OUT013,1987.0,High,Tier 3,Supermarket Type1,2059.9852
NCX29,10.0,Low Fat,0.110432661,Health and Hygiene,147.1102,OUT013,1987.0,High,Tier 3,Supermarket Type1,2916.204
FDR59,14.5,Regular,0.063810405,Breads,263.2594,OUT013,1987.0,High,Tier 3,Supermarket Type1,2878.2534
FDR52,12.65,Regular,0.075981306,Frozen Foods,192.3846,OUT013,1987.0,High,Tier 3,Supermarket Type1,1910.846
FDW58,20.75,Low Fat,0.007546808,Snack Foods,104.1622,OUT013,1987.0,High,Tier 3,Supermarket Type1,1693.7952
FDZ16,16.85,Regular,0.159722816,Frozen Foods,194.1478,OUT013,1987.0,High,Tier 3,Supermarket Type1,5812.434
DRF25,9.0,Low Fat,0.038892859,Soft Drinks,36.119,OUT013,1987.0,High,Tier 3,Supermarket Type1,1098.57
DRF03,19.1,Low Fat,0.045270426,Dairy,38.8138,OUT013,1987.0,High,Tier 3,Supermarket Type1,731.0484
FDH21,10.395,Low Fat,0.031199028,Seafood,159.4604,OUT013,1987.0,High,Tier 3,Supermarket Type1,316.9208
FDO50,16.25,Low Fat,0.078103689,Canned,91.1804,OUT013,1987.0,High,Tier 3,Supermarket Type1,1929.4884
FDF20,12.85,Low Fat,0.033192524,Fruits and Vegetables,199.0768,OUT013,1987.0,High,Tier 3,Supermarket Type1,3153.2288
NCN17,11.0,Low Fat,0.05489331,Health and Hygiene,101.9358,OUT013,1987.0,High,Tier 3,Supermarket Type1,1105.8938
NCR30,20.6,Low Fat,0.070933894,Household,74.8696,OUT013,1987.0,High,Tier 3,Supermarket Type1,223.7088
FDC35,7.435,Low Fat,0.122735471,Starchy Foods,205.2638,OUT013,1987.0,High,Tier 3,Supermarket Type1,3520.0846
FDA07,7.55,Regular,0.030918873,Fruits and Vegetables,123.9072,OUT013,1987.0,High,Tier 3,Supermarket Type1,1102.5648
DRH25,18.7,Low Fat,0.014580886,Soft Drinks,50.2324,OUT013,1987.0,High,Tier 3,Supermarket Type1,623.1888
FDY21,15.1,Low Fat,0.1300435424,Snack Foods,195.211,OUT013,1987.0,High,Tier 3,Supermarket Type1,3142.576
FDJ60,19.35,Regular,0.062476391,Baking Goods,164.5184,OUT013,1987.0,High,Tier 3,Supermarket Type1,1651.184
DRA24,19.35,Regular,0.039895009,Soft Drinks,162.4868,OUT013,1987.0,High,Tier 3,Supermarket Type1,4422.2436
NCG06,16.35,Low Fat,0.029420857,Household,256.9646,OUT013,1987.0,High,Tier 3,Supermarket Type1,4637.9628
FDZ32,7.785,Regular,0.0358159235,Fruits and Vegetables,106.4964,OUT013,1987.0,High,Tier 3,Supermarket Type1,1577.946
FDD04,16.0,Low Fat,0.08989642,Dairy,143.4154,OUT013,1987.0,High,Tier 3,Supermarket Type1,1985.4156
FDA52,16.2,Regular,0.128315409,Frozen Foods,178.137,OUT013,1987.0,High,Tier 3,Supermarket Type1,3881.614
FDR14,11.65,Low Fat,0.173904193,Dairy,52.3298,OUT013,1987.0,High,Tier 3,Supermarket Type1,269.649
DRL23,18.35,Low Fat,0.015291576,Hard Drinks,106.1938,OUT013,1987.0,High,Tier 3,Supermarket Type1,1607.9070000000004
FDN39,19.35,Regular,0.061965031,Meat,169.0816,OUT013,1987.0,High,Tier 3,Supermarket Type1,3523.4136
NCX30,16.7,Low Fat,0.026598474,Household,245.8776,OUT013,1987.0,High,Tier 3,Supermarket Type1,4210.5192
FDB16,8.21,Low Fat,0.044888397,Dairy,87.3198,OUT013,1987.0,High,Tier 3,Supermarket Type1,610.5386
FDC41,15.6,Low Fat,0.116815953,Frozen Foods,75.567,OUT013,1987.0,High,Tier 3,Supermarket Type1,1684.474
FDW59,13.15,Low Fat,0.020698674,Breads,86.3566,OUT013,1987.0,High,Tier 3,Supermarket Type1,1099.2358
FDO52,11.6,Regular,0.077100381,Frozen Foods,172.4106,OUT013,1987.0,High,Tier 3,Supermarket Type1,1539.9954
FDW45,18.0,Low Fat,0.038978526,Snack Foods,148.6418,OUT013,1987.0,High,Tier 3,Supermarket Type1,2795.6942
FDF12,8.235,Low Fat,0.08235926,Baking Goods,147.6076,OUT013,1987.0,High,Tier 3,Supermarket Type1,3103.9596
FDU10,10.1,Regular,0.045653999,Snack Foods,35.6848,OUT013,1987.0,High,Tier 3,Supermarket Type1,633.8416
NCU53,5.485,Low Fat,0.042716235,Health and Hygiene,164.8842,OUT013,1987.0,High,Tier 3,Supermarket Type1,2155.1946
FDJ40,13.6,Regular,0.049547993,Frozen Foods,108.6912,OUT013,1987.0,High,Tier 3,Supermarket Type1,2402.2064
FDM44,12.5,Low Fat,0.031023835,Fruits and Vegetables,104.099,OUT013,1987.0,High,Tier 3,Supermarket Type1,309.597
NCT05,10.895,Low Fat,0.020934413,Health and Hygiene,256.5672,OUT013,1987.0,High,Tier 3,Supermarket Type1,4090.6752
FDY59,8.195,Low Fat,0.031377308,Baking Goods,93.6462,OUT013,1987.0,High,Tier 3,Supermarket Type1,925.462
NCO30,19.5,Low Fat,0.015711807,Household,181.8608,OUT013,1987.0,High,Tier 3,Supermarket Type1,4042.7376
FDE26,9.3,Low Fat,0.088931701,Canned,143.3786,OUT013,1987.0,High,Tier 3,Supermarket Type1,3034.0506
FDQ31,5.785,Regular,0.053802405,Fruits and Vegetables,85.9856,OUT013,1987.0,High,Tier 3,Supermarket Type1,1494.0552
FDJ32,10.695,Low Fat,0.057744249,Fruits and Vegetables,61.2536,OUT013,1987.0,High,Tier 3,Supermarket Type1,673.7896
DRJ49,6.865,Low Fat,0.0112269752,Soft Drinks,129.9652,OUT013,1987.0,High,Tier 3,Supermarket Type1,2324.9736
FDR26,20.7,Low Fat,0.04280113,Dairy,178.3028,OUT013,1987.0,High,Tier 3,Supermarket Type1,2479.4392
FDF22,6.865,Low Fat,0.056783389,Snack Foods,214.5218,OUT013,1987.0,High,Tier 3,Supermarket Type1,2778.3834
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,443.4228
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,3185.853
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,952.094
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000004,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,2768.3964
NCI18,18.35,Low Fat,0.014081156,Household,223.5746,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,5.465,Regular,0.03467489585714286,Baking Goods,132.5626,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,262.3252
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,3315.684
FDL50,12.15,Regular,0.042485444,Canned,125.0046,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1743.0644
FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,619.194
FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1012.016
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,467.3916
FDL20,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1779.0176
FDZ32,7.785,Regular,0.038288087,Fruits and Vegetables,103.1964,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,736.3748
NCD06,13.0,Low Fat,0.099729888,Household,46.306,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,559.2719999999998
FDH27,7.075,Low Fat,0.05858462,Dairy,142.7128,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1869.5664
FDR04,7.075,Low Fat,0.0216568475,Frozen Foods,98.0068,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,874.8612
FDX25,16.7,Low Fat,0.08165737440000001,Canned,181.2292,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,2554.0088
FDP59,20.85,Regular,0.056695731,Breads,104.0648,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1869.5664
DRN47,12.1,Low Fat,0.016895293000000002,Hard Drinks,178.56599999999997,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,898.83
FDL51,20.7,Regular,0.047684831,Dairy,212.5876,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1286.3256
FDW49,19.5,Low Fat,0.08288849599999999,Canned,178.6002,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1253.7014
FDP51,13.85,Regular,0.085622362,Meat,119.4124,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,2251.7356
FDY34,10.5,Regular,0.011026594,Snack Foods,166.4842,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,2652.5472
FDZ38,17.6,Low Fat,0.008033611,Dairy,174.2422,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,4311.055
FDA27,20.35,Regular,0.0247992546,Dairy,256.7672,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,5624.6784
FDV39,11.3,Low Fat,0.007309544,Meat,196.2426,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,4943.565
FDN32,17.5,Low Fat,0.015623753999999997,Fruits and Vegetables,182.6266,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,3135.2522
FDJ41,6.85,Low Fat,0.022976497,Frozen Foods,261.6594,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,3401.5722
FDZ13,7.84,Regular,0.154120252,Canned,50.36833333,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,199.74
DRI51,17.25,Low Fat,0.042413704,Dairy,173.1764,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,4466.1864
FDR52,12.65,Regular,0.076354362,Frozen Foods,192.1846,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,1146.5076
FDK24,9.195,Low Fat,0.09703831733333332,Baking Goods,43.6744,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,407.4696
